REEF_ID,REEF_NAME,SECTOR,SHELF,LATITUDE,LONGITUDE,in_marine_protected_area,capad_name,capad_iucn,capad_type,capad_match_count
11016S,MCSWEENEY REEF,CG,M,-11.0275,143.251,True,Great Barrier Reef,VI,Marine Park,1
11029S,MONSOON REEF,CG,M,-11.133333,143.258333,True,Great Barrier Reef,VI,Marine Park,1
11049S,11049S,CG,M,-11.358333,143.333333,True,Great Barrier Reef,II,Marine Park,1
11162S,11162S,CG,M,-11.6,143.291667,True,Great Barrier Reef,II,Marine Park,2
11167S,BIRD ISLANDS REEF (NORTH),CG,I,-11.766667,143.083333,False,,,,0
11184C1,SIR CHARLES HARDY ISLANDS (1),CG,M,-11.908333,143.466667,True,Wuthathi,II,Indigenous Protected Area,3
11184C2,SIR CHARLES HARDY ISLANDS (2),CG,M,-11.908333,143.466667,True,Wuthathi,II,Indigenous Protected Area,3
11211S,PEARSON REEF,CG,M,-11.566667,143.716667,True,Great Barrier Reef,Ia,Marine Park,1
11222S2,MIDDLE BANKS (2),CG,M,-11.763333,143.651667,True,Great Barrier Reef,II,Marine Park,3
11222S3,MIDDLE BANKS B (3),CG,M,-11.771667,143.658333,True,Great Barrier Reef,II,Marine Park,3
11237A,ASHMORE BANKS (1),CG,M,-11.885167,143.629333,True,Great Barrier Reef,VI,Marine Park,3
11237B,ASHMORE BANKS (2),CG,M,-11.88,143.709833,True,Great Barrier Reef,VI,Marine Park,3
11237C,ASHMORE BANKS (3),CG,M,-11.926667,143.688167,True,Great Barrier Reef,VI,Marine Park,3
11243S,RAINE REEF,CG,O,-11.6,144.025,True,Great Barrier Reef,II,Marine Park,2
12010S,KAY REEF,CG,I,-12.233333,143.283333,True,Great Barrier Reef,VI,Marine Park,2
12016B,FORBES ISLANDS REEF,CG,M,-12.291667,143.408333,False,,,,0
12027B,QUOIN REEF(12027),CG,M,-12.4,143.533333,True,Great Barrier Reef,VI,Marine Park,2
12056S,MANTIS REEF,CG,O,-12.275,143.891667,True,Great Barrier Reef,II,Marine Park,1
12061S,LAGOON REEF,CG,O,-12.391667,143.741667,True,Great Barrier Reef,VI,Marine Park,1
12071S,12071S,CG,O,-12.483333,143.75,True,Great Barrier Reef,VI,Marine Park,1
12098S,SECOND SMALL REEF,CG,O,-12.566667,143.775,True,Great Barrier Reef,VI,Marine Park,1
12102S,CURD REEF,CG,I,-12.591667,143.55,True,Great Barrier Reef,VI,Marine Park,2
12107S,LOG REEF (SOUTH),CG,O,-12.675,143.841667,True,Great Barrier Reef,VI,Marine Park,1
13006S,OSBORNE REEF,PC,I,-13.041667,143.625,True,Great Barrier Reef,II,Marine Park,1
